signal_v,velocity_pchip_ms,velocity_poly_ms
-4.545762,0.2548945,0.254822816040617
-4.52331199498747,0.255017172381348,0.25545955487248
-4.50086198997494,0.255383927224978,0.256239873517532
-4.47841198496241,0.255992871080272,0.257164061777235
-4.45596197994987,0.256842110496611,0.258232414969766
-4.43351197493734,0.257929752023376,0.259445233930015
-4.41106196992481,0.259253902209949,0.260802825009591
-4.38861196491228,0.260812667605709,0.262305500076816
-4.36616195989975,0.262604154760038,0.263953576516733
-4.34371195488722,0.264626470222318,0.265747377231094
-4.32126194987469,0.266877720541929,0.26768723063837
-4.29881194486216,0.269356012268253,0.26977347067375
-4.27636193984962,0.27205945195067,0.272006436789134
-4.25391193483709,0.274986146138562,0.274386473953142
-4.23146192982456,0.27813420138131,0.276913932651109
-4.20901192481203,0.281501724228294,0.279589168885084
-4.1865619197995,0.285086821228896,0.282412544173831
-4.16411191478697,0.288887598932498,0.285384425552834
-4.14166190977444,0.292902163888479,0.28850518557429
-4.1192119047619,0.297128622646221,0.291775202307111
-4.09676189974937,0.301565081755106,0.295194859336926
-4.07431189473684,0.306209647764514,0.298764545766082
-4.05186188972431,0.311060427223827,0.302484656213638
-4.02941188471178,0.316115526682425,0.306355590815371
-4.00696187969925,0.321373052689689,0.310377755223771
-3.98451187468672,0.326831111795001,0.314551560608049
-3.96206186967419,0.332487810547742,0.318877423654127
-3.93961186466165,0.338341255497293,0.323355766564644
-3.91716185964912,0.344389553193034,0.327987017058957
-3.89471185463659,0.350630810184348,0.332771608373136
-3.87226184962406,0.357063133020615,0.337709979259969
-3.84981184461153,0.363684628251216,0.342802573988957
-3.827361839599,0.370493402425532,0.348049842346321
-3.80491183458647,0.377487562092944,0.353452239634993
-3.78246182957393,0.384665213802834,0.359010226674624
-3.7600118245614,0.392024464104582,0.364724269801581
-3.73756181954887,0.39956341954757,0.370594840868944
-3.71511181453634,0.407280186681178,0.376622417246512
-3.69266180952381,0.415172872054789,0.382807481820798
-3.67021180451128,0.423239582217782,0.38915052299503
-3.64776179949875,0.431478423719539,0.395652034689154
-3.62531179448622,0.439887503109441,0.402312516339831
-3.60286178947368,0.448464926936869,0.409132472900437
-3.58041178446115,0.457208801751204,0.416112414841063
-3.55796177944862,0.466117234101827,0.42325285814852
-3.53551177443609,0.47518833053812,0.430554324326329
-3.51306176942356,0.484420197609463,0.438017340394732
-3.49061176441103,0.493810941865238,0.445642438890683
-3.4681617593985,0.503358669854825,0.453430157867854
-3.44571175438596,0.513061488127607,0.461381040896632
-3.42326174937343,0.522917503232962,0.46949563706412
-3.4008117443609,0.532924821720274,0.477774500974137
-3.37836173934837,0.543081550138922,0.486218192747217
-3.35591173433584,0.553385795038289,0.49482727802061
-3.33346172932331,0.563835662967754,0.503602327948283
-3.31101172431078,0.5744292604767,0.512543919200918
-3.28856171929825,0.585164694114507,0.521652633965911
-3.26611171428571,0.596040070430556,0.530929059947377
-3.24366170927318,0.607053495974229,0.540373790366145
-3.22121170426065,0.618203077294906,0.54998742395976
-3.19876169924812,0.629486920941969,0.559770564982482
-3.17631169423559,0.640903133464798,0.56972382320529
-3.15386168922306,0.652449821412776,0.579847813915874
-3.13141168421053,0.664125091335282,0.590143157918643
-3.10896167919799,0.675927049781698,0.600610481534722
-3.08651167418546,0.687853803301405,0.61125041660195
-3.06406166917293,0.699903458443784,0.622063600474883
-3.0416116641604,0.712074121758216,0.633050676024793
-3.01916165914787,0.724363899794083,0.644212291639665
-2.99671165413534,0.736770899100765,0.655549101224206
-2.97426164912281,0.749293226227643,0.667061764199831
-2.95181164411028,0.761928987724099,0.678750945504677
-2.92936163909774,0.774676290139513,0.690617315593593
-2.90691163408521,0.787533240023268,0.702661550438146
-2.88446162907268,0.800497943924742,0.714884331526618
-2.86201162406015,0.813568508393319,0.727286345864008
-2.83956161904762,0.826743039978379,0.739868285972027
-2.81711161403509,0.840019645229303,0.752630849889107
-2.79466160902256,0.853396430695471,0.765574741170392
-2.77221160401002,0.866871502926267,0.778700668887743
-2.74976159899749,0.880442968471069,0.792009347629737
-2.72731159398496,0.894108933879259,0.805501497501666
-2.70486158897243,0.907867505700219,0.819177844125541
-2.6824115839599,0.92171679048333,0.833039118640083
-2.65996157894737,0.935654894777972,0.847086057700733
-2.63751157393484,0.949679925133527,0.861319403479648
-2.61506156892231,0.963789988099375,0.875739903665699
-2.59261156390977,0.977983190224899,0.890348311464473
-2.57016155889724,0.992257638059478,0.905145385598274
-2.54771155388471,1.00661143815249,0.92013189030612
-2.52526154887218,1.02104269705333,0.935308595343746
-2.50281154385965,1.03554952131136,0.950676275983604
-2.48036153884712,1.05013001747598,0.966235713014859
-2.45791153383459,1.06478229209655,0.981987692743393
-2.43546152882206,1.07950445172247,0.997933006991805
-2.41301152380952,1.09429460290311,1.01407245309941
-2.39056151879699,1.10915085218786,1.03040683392223
