window_size_px,n_vectors,mean_u_streamwise_ms,mean_v_normal_ms,mean_speed_ms,spatial_std_u_streamwise_ms
16,7777,5.22588734924971,-0.0559847554962098,7.43906684475496,6.21356081353155
32,1900,7.41749229415319,-0.194386183483721,7.98401919233208,5.10761613568543
64,475,7.51626576137055,-0.199127309910153,7.90083604379103,5.06042282366688
