case_id,aoa_deg,processing,n_valid_vectors,n_total_vectors,valid_fraction,mean_u_streamwise_ms,mean_v_normal_ms,mean_speed_ms,spatial_mean_u_rms_ms,spatial_mean_v_rms_ms
aoa0,0,Overlap0SinglePass,1651,1900,0.868947368421053,10.171614171487,0.0372546357327075,10.17949928746,0.32496518866911,0.313044973744337
aoa0,0,Overlap50MP3,6714,7777,0.863314902918863,10.2333427506879,0.0559781218162497,10.2417157203726,0.295689568062809,0.268171132793
aoa0,0,Overlap50SinglePass,6653,7777,0.855471261411855,10.1119154734785,0.0537886639181122,10.1247114558733,0.36573930709979,0.346988841199188
aoa5,5,Overlap0SinglePass,1630,1900,0.857894736842105,10.2675714463063,0.330298644646258,10.2873401008901,0.324777903354908,0.290234003610368
aoa5,5,Overlap50MP3,6663,7777,0.856757104281857,10.3549811386403,0.341734918759253,10.3767468425368,0.262286391081345,0.233167980691385
aoa5,5,Overlap50SinglePass,6615,7777,0.850585058505851,10.2489873092497,0.310552587180862,10.270378482842,0.358827614792759,0.309921888687332
aoa15,15,Overlap0SinglePass10ImgInc10,1649,1900,0.867894736842105,9.26141882448478,0.204484585716798,9.48192114702877,0.716169764241965,0.575301473369861
aoa15,15,Overlap0SinglePass10ImgInc1,1651,1900,0.868947368421053,9.30562410755088,0.212750907988734,9.52689852626895,0.711566869419746,0.577940891427983
aoa15,15,Overlap0SinglePass,1651,1900,0.868947368421053,9.29152503793828,0.194420991945669,9.51885540209508,0.680319973931375,0.569793330258995
aoa15,15,Overlap50MP3,6676,7777,0.858428700012858,9.39268198680309,0.198621747479598,9.64634275028826,0.607968269935275,0.543634044847724
aoa15,15,Overlap50MP3Img10Inc10,6674,7777,0.858171531438858,9.3522470320706,0.202350402347977,9.60329121394426,0.646853040434267,0.554031853948262
aoa15,15,Overlap50MP3Img10Inc1,6675,7777,0.858300115725858,9.39467698508411,0.210894639488884,9.64841125155796,0.640994797810816,0.563169889066457
aoa15,15,Overlap50SinglePass10ImgInc10,6613,7777,0.85032788993185,9.2609181756266,0.185508223137063,9.4912640275671,0.708468172665417,0.582068318018585
aoa15,15,Overlap50SinglePass10ImgInc1,6613,7777,0.85032788993185,9.30222980970417,0.191168401296825,9.53469509043997,0.703456683028973,0.587975139775744
aoa15,15,Overlap50SinglePass,6613,7777,0.85032788993185,9.30200080553474,0.179736603512566,9.5340344784946,0.670023492139075,0.573257827591577
aoa15_short_dt,15,Overlap0SinglePass,1653,1900,0.87,8.84794941020176,0.164676073915245,9.12788629675971,1.41558347117012,1.86791210384307
aoa15_short_dt,15,Overlap50MP3,6690,7777,0.86022888003086,9.54562770425929,0.188764081235396,9.80698043862272,1.59743902255345,1.38670185952834
aoa15_short_dt,15,Overlap50SinglePass,6618,7777,0.850970811366851,8.91002214139015,0.11830882206307,9.25334894033867,1.39240784317082,1.89311811984184
