case_id,aoa_deg,processing,x_profile_mm,y_mm,y_relative_mm,mean_velocity_ms,rms_velocity_ms,valid
aoa0,0,Overlap50MP3,20.1105204821,25.33387959,-29.66612041,10.3117271932,0.1867496912,1
aoa0,0,Overlap50MP3,20.1105204821,23.5561035872,-31.4438964128,10.3182604285,0.1750700787,1
aoa0,0,Overlap50MP3,20.1105204821,21.7783275843,-33.2216724157,10.3544599222,0.1376848811,1
aoa0,0,Overlap50MP3,20.1105204821,20.0005515814,-34.9994484186,10.3937839133,0.1604147452,1
aoa0,0,Overlap50MP3,20.1105204821,18.2227755785,-36.7772244215,10.3456191123,0.1920677,1
aoa0,0,Overlap50MP3,20.1105204821,16.4449995756,-38.5550004244,10.3077678735,0.1749584207,1
aoa0,0,Overlap50MP3,20.1105204821,14.6672235727,-40.3327764273,10.2942610807,0.1421651255,1
aoa0,0,Overlap50MP3,20.1105204821,12.8894475698,-42.1105524302,10.2737048373,0.1536574333,1
aoa0,0,Overlap50MP3,20.1105204821,11.111671567,-43.888328433,10.2784925354,0.1511976143,1
aoa0,0,Overlap50MP3,20.1105204821,9.3338955641,-45.6661044359,10.2858412617,0.1443196836,1
aoa0,0,Overlap50MP3,20.1105204821,7.5561195612,-47.4438804388,10.3071106122,0.1379037668,1
aoa0,0,Overlap50MP3,20.1105204821,5.7783435583,-49.2216564417,10.3079991322,0.125391838,1
aoa0,0,Overlap50MP3,20.1105204821,4.0005675554,-50.9994324446,10.2890108653,0.1305262563,1
aoa0,0,Overlap50MP3,20.1105204821,2.2227915525,-52.7772084475,10.2916284553,0.0886217155,1
aoa0,0,Overlap50MP3,20.1105204821,0.4450155497,-54.5549844503,10.302497611,0.142573766,1
aoa0,0,Overlap50MP3,20.1105204821,-1.3327604532,-56.3327604532,10.3076189516,0.1073779294,1
aoa0,0,Overlap50MP3,20.1105204821,-3.1105364561,-58.1105364561,10.2879154297,0.1328627605,1
aoa0,0,Overlap50MP3,20.1105204821,-4.888312459,-59.888312459,10.2717194498,0.1293169141,1
aoa0,0,Overlap50MP3,20.1105204821,-6.6660884619,-61.6660884619,10.2423875499,0.1181270034,1
aoa0,0,Overlap50MP3,20.1105204821,-8.4438644648,-63.4438644648,10.1952394277,0.11106697,1
aoa5,5,Overlap50MP3,20.1105204821,126.6671117544,71.6671117544,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,124.8893357515,69.8893357515,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,123.1115597486,68.1115597486,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,121.3337837458,66.3337837458,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,119.5560077429,64.5560077429,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,117.77823174,62.77823174,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,116.0004557371,61.0004557371,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,114.2226797342,59.2226797342,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,112.4449037313,57.4449037313,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,110.6671277285,55.6671277285,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,108.8893517256,53.8893517256,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,107.1115757227,52.1115757227,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,105.3337997198,50.3337997198,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,103.5560237169,48.5560237169,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,101.778247714,46.778247714,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,100.0004717112,45.0004717112,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,98.2226957083,43.2226957083,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,96.4449197054,41.4449197054,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,94.6671437025,39.6671437025,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,92.8893676996,37.8893676996,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,91.1115916967,36.1115916967,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,89.3338156939,34.3338156939,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,87.556039691,32.556039691,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,85.7782636881,30.7782636881,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,84.0004876852,29.0004876852,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,82.2227116823,27.2227116823,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,80.4449356794,25.4449356794,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,78.6671596766,23.6671596766,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,76.8893836737,21.8893836737,9.7119962346,0,0
aoa5,5,Overlap50MP3,20.1105204821,75.1116076708,20.1116076708,8.9732007971,0.8175401653,1
aoa5,5,Overlap50MP3,20.1105204821,73.3338316679,18.3338316679,9.087008683,0.3302769963,1
aoa5,5,Overlap50MP3,20.1105204821,71.556055665,16.556055665,8.9022659704,0.4418606512,1
aoa5,5,Overlap50MP3,20.1105204821,69.7782796621,14.7782796621,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,68.0005036592,13.0005036592,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,66.2227276564,11.2227276564,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,64.4449516535,9.4449516535,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,62.6671756506,7.6671756506,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,60.8893996477,5.8893996477,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,59.1116236448,4.1116236448,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,57.3338476419,2.3338476419,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,55.5560716391,0.556071639099997,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,53.7782956362,-1.2217043638,-0,0,0
aoa5,5,Overlap50MP3,20.1105204821,52.0005196333,-2.9994803667,13.2841860393,0.4980376599,1
aoa5,5,Overlap50MP3,20.1105204821,50.2227436304,-4.7772563696,12.9573667578,0.3166111012,1
aoa5,5,Overlap50MP3,20.1105204821,48.4449676275,-6.5550323725,12.6754016274,0.2596499029,1
aoa5,5,Overlap50MP3,20.1105204821,46.6671916246,-8.3328083754,12.4550114348,0.2725702261,1
aoa5,5,Overlap50MP3,20.1105204821,44.8894156218,-10.1105843782,12.205173355,0.1560771133,1
aoa5,5,Overlap50MP3,20.1105204821,43.1116396189,-11.8883603811,12.0337799217,0.2372405477,1
aoa5,5,Overlap50MP3,20.1105204821,41.333863616,-13.666136384,12.036981744,0.2072403113,1
aoa5,5,Overlap50MP3,20.1105204821,39.5560876131,-15.4439123869,11.870789124,0.1884468333,1
aoa5,5,Overlap50MP3,20.1105204821,37.7783116102,-17.2216883898,11.7827669335,0.1540663423,1
aoa5,5,Overlap50MP3,20.1105204821,36.0005356073,-18.9994643927,11.7473499961,0.1704561042,1
aoa5,5,Overlap50MP3,20.1105204821,34.2227596045,-20.7772403955,11.6709272518,0.1804943868,1
aoa5,5,Overlap50MP3,20.1105204821,32.4449836016,-22.5550163984,11.6163989006,0.2092109543,1
aoa5,5,Overlap50MP3,20.1105204821,30.6672075987,-24.3327924013,11.5811172818,0.1713993848,1
aoa5,5,Overlap50MP3,20.1105204821,28.8894315958,-26.1105684042,11.4897779977,0.2172569245,1
aoa5,5,Overlap50MP3,20.1105204821,27.1116555929,-27.8883444071,11.4311664638,0.1609420914,1
aoa5,5,Overlap50MP3,20.1105204821,25.33387959,-29.66612041,11.330809525,0.2055481586,1
aoa5,5,Overlap50MP3,20.1105204821,23.5561035872,-31.4438964128,11.2531030447,0.2135850449,1
aoa5,5,Overlap50MP3,20.1105204821,21.7783275843,-33.2216724157,11.2277526596,0.1659263124,1
aoa5,5,Overlap50MP3,20.1105204821,20.0005515814,-34.9994484186,11.1938363974,0.1932505288,1
aoa5,5,Overlap50MP3,20.1105204821,18.2227755785,-36.7772244215,11.2007283342,0.1515709708,1
aoa5,5,Overlap50MP3,20.1105204821,16.4449995756,-38.5550004244,11.1165852746,0.1999128627,1
aoa5,5,Overlap50MP3,20.1105204821,14.6672235727,-40.3327764273,11.0428402618,0.159290626,1
aoa5,5,Overlap50MP3,20.1105204821,12.8894475698,-42.1105524302,11.0070495876,0.1483574245,1
aoa5,5,Overlap50MP3,20.1105204821,11.111671567,-43.888328433,11.0098397266,0.1375043781,1
aoa5,5,Overlap50MP3,20.1105204821,9.3338955641,-45.6661044359,11.0115594889,0.1182926164,1
aoa5,5,Overlap50MP3,20.1105204821,7.5561195612,-47.4438804388,11.0170824892,0.1283650642,1
aoa5,5,Overlap50MP3,20.1105204821,5.7783435583,-49.2216564417,10.9752110733,0.1223237233,1
aoa5,5,Overlap50MP3,20.1105204821,4.0005675554,-50.9994324446,10.903824469,0.0846353568,1
aoa5,5,Overlap50MP3,20.1105204821,2.2227915525,-52.7772084475,10.9301664739,0.1144748018,1
aoa5,5,Overlap50MP3,20.1105204821,0.4450155497,-54.5549844503,10.9669308687,0.1264039302,1
aoa5,5,Overlap50MP3,20.1105204821,-1.3327604532,-56.3327604532,10.9444944855,0.094795209,1
aoa5,5,Overlap50MP3,20.1105204821,-3.1105364561,-58.1105364561,10.9253315218,0.0911579812,1
aoa5,5,Overlap50MP3,20.1105204821,-4.888312459,-59.888312459,10.8625036348,0.135869201,1
aoa5,5,Overlap50MP3,20.1105204821,-6.6660884619,-61.6660884619,10.779328568,0.1169688196,1
aoa5,5,Overlap50MP3,20.1105204821,-8.4438644648,-63.4438644648,10.7782717948,0.1652171543,1
aoa15,15,Overlap50MP3,20.1105204821,126.6671117544,71.6671117544,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,124.8893357515,69.8893357515,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,123.1115597486,68.1115597486,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,121.3337837458,66.3337837458,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,119.5560077429,64.5560077429,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,117.77823174,62.77823174,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,116.0004557371,61.0004557371,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,114.2226797342,59.2226797342,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,112.4449037313,57.4449037313,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,110.6671277285,55.6671277285,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,108.8893517256,53.8893517256,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,107.1115757227,52.1115757227,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,105.3337997198,50.3337997198,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,103.5560237169,48.5560237169,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,101.778247714,46.778247714,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,100.0004717112,45.0004717112,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,98.2226957083,43.2226957083,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,96.4449197054,41.4449197054,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,94.6671437025,39.6671437025,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,92.8893676996,37.8893676996,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,91.1115916967,36.1115916967,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,89.3338156939,34.3338156939,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,87.556039691,32.556039691,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,85.7782636881,30.7782636881,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,84.0004876852,29.0004876852,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,82.2227116823,27.2227116823,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,80.4449356794,25.4449356794,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,78.6671596766,23.6671596766,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,76.8893836737,21.8893836737,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,75.1116076708,20.1116076708,-0,0,0
aoa15,15,Overlap50MP3,20.1105204821,73.3338316679,18.3338316679,-0,0,0
