velocity_ms,signal_v
0.254966,-4.545762
1.474894,-1.858709
3.644076,-0.240426
5.902274,0.832067
8.222233,1.660862
10.532433,2.338336
12.32928,2.781865
15.303323,3.435855
17.690036,3.899449
20.090074,4.311888
20.692078,4.41179
0.254823,-4.545762
1.476491,-1.858709
3.640036,-0.240426
5.903366,0.832067
8.221561,1.660862
10.550224,2.338336
12.312727,2.781865
15.29313,3.435855
17.707051,3.899449
20.08327,4.311888
20.692988,4.41179
