lag_s,rho
0,1
1.9531249694824e-05,0.917656843909726
3.9062499389648e-05,0.860508807715005
5.85937490844721e-05,0.878327436282449
7.81249987792961e-05,0.904609986268205
9.76562484741201e-05,0.906696989971533
0.000117187498168944,0.8849607778901
0.000136718747863768,0.865456864904297
0.000156249997558592,0.853177669739136
0.000175781247253416,0.846220469450151
0.00019531249694824,0.834051890954509
0.000214843746643064,0.818556461387702
0.000234374996337888,0.800106480592857
0.000253906246032712,0.783143363947853
0.000273437495727536,0.765051969140241
0.00029296874542236,0.746970471224998
0.000312499995117184,0.726566247556545
0.000332031244812008,0.705856029948813
0.000351562494506832,0.683932640756389
0.000371093744201656,0.662119153775588
0.00039062499389648,0.639054326922849
0.000410156243591304,0.615851205082437
0.000429687493286128,0.591681759192905
0.000449218742980952,0.567397065652887
0.000468749992675777,0.542490455909777
0.000488281242370601,0.517513876934918
0.000507812492065424,0.491881323879919
0.000527343741760249,0.466217213943583
0.000546874991455073,0.440362698893212
0.000566406241149897,0.414457445353261
0.000585937490844721,0.388272737711173
0.000605468740539545,0.362207727706409
0.000624999990234369,0.336060269480428
0.000644531239929193,0.310127844382029
0.000664062489624017,0.284362737473197
0.000683593739318841,0.258669332408936
0.000703124989013665,0.233057678198825
0.000722656238708489,0.207732912449658
0.000742187488403313,0.182885622289793
0.000761718738098137,0.158372620676757
0.000781249987792961,0.134070525660001
0.000800781237487785,0.110143283473077
0.000820312487182609,0.0865925763982494
0.000839843736877433,0.0636749019617322
0.000859374986572257,0.0413689739726834
0.000878906236267081,0.0193991125454839
0.000898437485961905,-0.00220579710754938
0.000917968735656729,-0.0231739575953583
0.000937499985351553,-0.0434109412085036
0.000957031235046377,-0.0630045011155367
0.000976562484741201,-0.0820586772071469
0.000996093734436025,-0.100520737357213
0.00101562498413085,-0.118434357901091
0.00103515623382567,-0.13568280424339
0.0010546874835205,-0.152091244525558
0.00107421873321532,-0.167845916826522
0.00109374998291015,-0.183064285535554
0.00111328123260497,-0.197557732338553
0.00113281248229979,-0.211321889659975
0.00115234373199462,-0.224418221175335
0.00117187498168944,-0.236964675708863
0.00119140623138427,-0.248781130568757
0.00121093748107909,-0.259760743136492
0.00123046873077391,-0.270201994967601
0.00124999998046874,-0.280002841189766
0.00126953123016356,-0.289097070849569
0.00128906247985839,-0.297596570353422
0.00130859372955321,-0.305533315631391
0.00132812497924803,-0.312774508859105
0.00134765622894286,-0.319312637618419
0.00136718747863768,-0.325262618590568
0.00138671872833251,-0.330855372852799
0.00140624997802733,-0.335870428434763
0.00142578122772215,-0.340189213397165
0.00144531247741698,-0.34394103456008
0.0014648437271118,-0.347167006195607
0.00148437497680663,-0.350055453240837
0.00150390622650145,-0.352450632760516
0.00152343747619627,-0.354297783657458
0.0015429687258911,-0.355715394724386
0.00156249997558592,-0.356709152378223
0.00158203122528075,-0.357315561385555
0.00160156247497557,-0.357573730399565
0.00162109372467039,-0.357377925270424
0.00164062497436522,-0.356814198786154
0.00166015622406004,-0.356062844005134
0.00167968747375487,-0.354986566187437
0.00169921872344969,-0.35345895910447
0.00171874997314451,-0.351699726486753
0.00173828122283934,-0.34975596939254
0.00175781247253416,-0.347567874088758
0.00177734372222899,-0.345156284073631
0.00179687497192381,-0.34247349241063
0.00181640622161863,-0.339538953270508
0.00183593747131346,-0.336555624034342
0.00185546872100828,-0.333447408490883
0.00187499997070311,-0.330087543764672
0.00189453122039793,-0.326561611631794
0.00191406247009275,-0.322923181577739
0.00193359371978758,-0.319218815200032
0.0019531249694824,-0.315458982436859
0.00197265621917723,-0.311554563309668
0.00199218746887205,-0.3075517422374
0.00201171871856687,-0.30346267419086
0.0020312499682617,-0.299353420935808
0.00205078121795652,-0.295232878720915
0.00207031246765135,-0.290982425741561
0.00208984371734617,-0.286660753739131
0.00210937496704099,-0.282376133914852
0.00212890621673582,-0.278113582097241
0.00214843746643064,-0.273828632636922
0.00216796871612547,-0.269410355454598
0.00218749996582029,-0.264936863754436
0.00220703121551511,-0.260494872373417
0.00222656246520994,-0.25616488792455
0.00224609371490476,-0.251838864700492
0.00226562496459959,-0.247332458792441
0.00228515621429441,-0.242790427345456
0.00230468746398923,-0.238338778336903
0.00232421871368406,-0.233912203419725
0.00234374996337888,-0.229473719566304
0.00236328121307371,-0.225025585073445
0.00238281246276853,-0.2205330465125
0.00240234371246335,-0.215896967110486
0.00242187496215818,-0.211226219002513
0.002441406211853,-0.206732426682615
0.00246093746154783,-0.202308781933673
0.00248046871124265,-0.197748077749015
0.00249999996093747,-0.192975571240557
0.0025195312106323,-0.18804177623195
0.00253906246032712,-0.183263315385956
0.00255859371002195,-0.178651606000919
0.00257812495971677,-0.173936675815089
0.00259765620941159,-0.168970279066577
0.00261718745910642,-0.163873982211784
0.00263671870880124,-0.158890165242252
0.00265624995849607,-0.153934971699782
0.00267578120819089,-0.148766009683721
0.00269531245788571,-0.143447650603608
0.00271484370758054,-0.138115863137905
0.00273437495727536,-0.132807431074289
0.00275390620697019,-0.127418618728931
0.00277343745666501,-0.121853898509525
0.00279296870635984,-0.116173771116164
0.00281249995605466,-0.110357651043184
0.00283203120574948,-0.104648680483778
0.00285156245544431,-0.0989468721353547
0.00287109370513913,-0.0929627735453335
0.00289062495483396,-0.086760824717693
0.00291015620452878,-0.0805212703725837
0.0029296874542236,-0.0743635800714372
0.00294921870391843,-0.0682198231953358
0.00296874995361325,-0.061825530846471
0.00298828120330807,-0.0552923195484759
0.0030078124530029,-0.0487690945915573
0.00302734370269772,-0.0421625845294942
0.00304687495239255,-0.0354929750867181
0.00306640620208737,-0.0287285389328233
0.0030859374517822,-0.022006314054846
0.00310546870147702,-0.0151812241891481
0.00312499995117184,-0.00818812330596248
0.00314453120086667,-0.00128014505298187
0.00316406245056149,0.00562485686143545
0.00318359370025632,0.0125682467632799
0.00320312494995114,0.0196683540312111
0.00322265619964596,0.0267609174810535
0.00324218744934079,0.0336739396015078
0.00326171869903561,0.0406644526757531
0.00328124994873044,0.0477324460256461
0.00330078119842526,0.0547726478219164
0.00332031244812008,0.0617130340364108
0.00333984369781491,0.0685750942195885
0.00335937494750973,0.0754374940872758
0.00337890619720456,0.0822968759686044
0.00339843744689938,0.0890751167371921
0.0034179686965942,0.095675062543571
0.00343749994628903,0.102218442464966
0.00345703119598385,0.108726373369464
0.00347656244567868,0.115085815525886
0.0034960936953735,0.121318522170717
0.00351562494506832,0.127511291668427
0.00353515619476315,0.133560279489395
0.00355468744445797,0.139344399379318
0.0035742186941528,0.144984980650345
0.00359374994384762,0.150466053984593
0.00361328119354244,0.155914839422304
0.00363281244323727,0.161143011535499
0.00365234369293209,0.166020864205621
0.00367187494262692,0.170797069142516
0.00369140619232174,0.17544089451914
0.00371093744201656,0.179805537671679
0.00373046869171139,0.183865698292047
0.00374999994140621,0.187895578759753
0.00376953119110104,0.191645104335739
0.00378906244079586,0.195022987468569
0.00380859369049068,0.198189333532795
0.00382812494018551,0.201110480353301
0.00384765618988033,0.203869396630388
0.00386718743957516,0.206446950431175
0.00388671868926998,0.208695061140594
0.0039062499389648,0.210530581609222
0.00392578118865963,0.212140398867183
0.00394531243835445,0.213596059657601
0.00396484368804928,0.214780931643611
0.0039843749377441,0.21576173252336
0.00400390618743892,0.216391498319947
0.00402343743713375,0.216742989469308
0.00404296868682857,0.216889171629472
0.0040624999365234,0.216742711952579
0.00408203118621822,0.216381103612833
0.00410156243591304,0.215808318756872
0.00412109368560787,0.215023889091251
0.00414062493530269,0.213918525584767
0.00416015618499752,0.21245212572885
0.00417968743469234,0.210781912124124
0.00419921868438716,0.209078942087063
0.00421874993408199,0.207214873127298
0.00423828118377681,0.205073399549792
0.00425781243347164,0.202570803410554
0.00427734368316646,0.199891006986144
0.00429687493286128,0.197158131278853
0.00431640618255611,0.19432584312717
0.00433593743225093,0.191317972852391
0.00435546868194576,0.187999174831052
0.00437499993164058,0.18450107189714
0.0043945311813354,0.180958393881622
0.00441406243103023,0.177404146939976
0.00443359368072505,0.173671192409325
0.00445312493041988,0.169744587012673
0.0044726561801147,0.165690393157935
0.00449218742980952,0.16165361107119
0.00451171867950435,0.157599459410482
0.00453124992919917,0.153450149563604
0.004550781178894,0.149129094028742
0.00457031242858882,0.144800930170364
0.00458984367828365,0.140531575606878
0.00460937492797847,0.136227406848864
0.00462890617767329,0.131854164191996
0.00464843742736812,0.127487518808693
0.00466796867706294,0.123077390639336
0.00468749992675776,0.118714101352775
0.00470703117645259,0.114397139856137
0.00472656242614741,0.110091907484704
0.00474609367584224,0.105813537305201
0.00476562492553706,0.101600433446727
0.00478515617523189,0.0974207871992859
0.00480468742492671,0.0932684593814993
0.00482421867462153,0.089189436867928
0.00484374992431636,0.0851624026735613
0.00486328117401118,0.0812165434435396
0.00488281242370601,0.0774244164655796
0.00490234367340083,0.0737426776771979
0.00492187492309565,0.0700649083839726
0.00494140617279048,0.0663724549602649
0.0049609374224853,0.0628426142253055
0.00498046867218012,0.0595252567204034
0.00499999992187495,0.0563288103042765
0.00501953117156977,0.0531109237661699
0.0050390624212646,0.0499034963045358
0.00505859367095942,0.0469082413252051
0.00507812492065425,0.0440681657029332
0.00509765617034907,0.0413234579806221
0.00511718742004389,0.0387020637377103
0.00513671866973872,0.036092918113483
0.00515624991943354,0.0335496634253668
0.00517578116912837,0.0311982764094155
0.00519531241882319,0.0289651329137416
0.00521484366851801,0.0267634120857234
0.00523437491821284,0.0246609186205811
0.00525390616790766,0.022636578583077
0.00527343741760249,0.0206962729044152
0.00529296866729731,0.0188815034878648
0.00531249991699213,0.0171962375341148
0.00533203116668696,0.0155286178686224
0.00535156241638178,0.0138436601528249
0.00537109366607661,0.0123504509877973
0.00539062491577143,0.0109780394513963
0.00541015616546625,0.00956045221197778
0.00542968741516108,0.00815970446259533
0.0054492186648559,0.00688075586392953
0.00546874991455073,0.0056617427838437
0.00548828116424555,0.00448905783712917
0.00550781241394037,0.00331942231606838
0.0055273436636352,0.00220412511609381
0.00554687491333002,0.00112808051915749
0.00556640616302485,5.63056830456683e-05
0.00558593741271967,-0.000961919842467072
0.00560546866241449,-0.001952574611165
0.00562499991210932,-0.00303896254380669
0.00564453116180414,-0.00409478805724618
0.00566406241149897,-0.00502650226098282
0.00568359366119379,-0.00595227005378497
0.00570312491088861,-0.00691544425316897
0.00572265616058344,-0.00804505013699334
0.00574218741027826,-0.00921627241536553
0.00576171865997309,-0.0101732225300973
0.00578124990966791,-0.0110447843617475
0.00580078115936273,-0.0120095623675951
0.00582031240905756,-0.0132245620828007
0.00583984365875238,-0.014458026288218
0.00585937490844721,-0.0156159127381332
0.00587890615814203,-0.0167237913701181
0.00589843740783685,-0.0177153764854118
0.00591796865753168,-0.0188218191694983
0.0059374999072265,-0.020168913152269
0.00595703115692133,-0.0215767666750124
0.00597656240661615,-0.0228265226630528
0.00599609365631097,-0.0239670126275956
0.0060156249060058,-0.0252645612712505
0.00603515615570062,-0.0267502477175152
0.00605468740539545,-0.0281297446613761
0.00607421865509027,-0.0294274250784625
0.00609374990478509,-0.0307828903849046
0.00611328115447992,-0.0322411468927758
0.00613281240417474,-0.0337212562882377
0.00615234365386957,-0.0351454693138041
0.00617187490356439,-0.0365437617359757
0.00619140615325921,-0.0379605007424729
0.00621093740295404,-0.0394159344022119
0.00623046865264886,-0.0409184506512528
0.00624999990234369,-0.0424034768510582
0.00626953115203851,-0.0438050594314905
0.00628906240173333,-0.045189312526859
0.00630859365142816,-0.0465701561484173
0.00632812490112298,-0.0480314885043807
0.00634765615081781,-0.0494337380722034
0.00636718740051263,-0.0507223069288472
0.00638671865020745,-0.051966295892767
0.00640624989990228,-0.0531641857928142
0.0064257811495971,-0.0545122053097799
0.00644531239929193,-0.0560987916807688
0.00646484364898675,-0.0573797194370656
0.00648437489868157,-0.0577785332368971
0.0065039061483764,-0.0577562816183863
0.00652343739807122,-0.0591461605557505
0.00654296864776605,-0.0626645285163634
0.00656249989746087,-0.0655897572362049
0.0065820311471557,-0.0634891195978979
0.00660156239685052,-0.059320246904867
0.00662109364654534,-0.0611910838317017
0.00664062489624017,-0.0684544479782262
0.00666015614593499,-0.0709584020780454
0.00667968739562981,-0.0605478773409161
0.00669921864532464,-0.0548858189807206
0.00671874989501946,-0.0651639669044357
0.00673828114471429,-0.073757694101534
0.00675781239440911,-0.0718839387326592
0.00677734364410394,-0.0656658950300501
0.00679687489379876,-0.0633205977540433
0.00681640614349358,-0.0648207264521029
0.00683593739318841,-0.0665271456364514
0.00685546864288323,-0.066320034828974
0.00687499989257806,-0.0650510739203837
0.00689453114227288,-0.0639054294264023
0.0069140623919677,-0.0632912658608065
0.00693359364166253,-0.0628202238951468
0.00695312489135735,-0.0620478676258765
0.00697265614105217,-0.0610269056896432
0.006992187390747,-0.0598330217035385
0.00701171864044182,-0.0586341586827313
0.00703124989013665,-0.0573932212528086
0.00705078113983147,-0.0560976687937851
0.0070703123895263,-0.0546379819064371
0.00708984363922112,-0.0531033105576885
0.00710937488891594,-0.0515087215807644
0.00712890613861077,-0.0497190098074984
0.00714843738830559,-0.047972193308219
0.00716796863800042,-0.0461834218854801
0.00718749988769524,-0.0442042851818635
0.00720703113739006,-0.0421549072840604
0.00722656238708489,-0.0400621362666443
0.00724609363677971,-0.0379468782618014
0.00726562488647454,-0.035780789238453
0.00728515613616936,-0.0335058872453098
0.00730468738586418,-0.0311744574525606
0.00732421863555901,-0.0287332439855221
0.00734374988525383,-0.0263298913959061
0.00736328113494866,-0.0238877782846749
0.00738281238464348,-0.0213663203921781
0.0074023436343383,-0.0187780398388845
0.00742187488403313,-0.0161183451640388
0.00744140613372795,-0.0134805499479922
0.00746093738342278,-0.0109804879818914
0.0074804686331176,-0.00835419591551643
0.00749999988281242,-0.0055198236398917
0.00751953113250725,-0.00273408594893697
0.00753906238220207,-9.7503103806263e-05
0.0075585936318969,0.00254513615245507
0.00757812488159172,0.00534056077791081
0.00759765613128654,0.00816475888983854
0.00761718738098137,0.0109784432172197
0.00763671863067619,0.0137417152404575
0.00765624988037102,0.0164673953258726
0.00767578113006584,0.0191865550300888
0.00769531237976066,0.0219907782508702
0.00771484362945549,0.0247957108890289
0.00773437487915031,0.0275757651564591
0.00775390612884514,0.0302809736982372
0.00777343737853996,0.0329540429775827
0.00779296862823478,0.0356426254713493
0.00781249987792961,0.0384150192453806
0.00783203112762443,0.0411081754907428
0.00785156237731926,0.0436984582225026
0.00787109362701408,0.0462684034942573
0.0078906248767089,0.0488695306541621
0.00791015612640373,0.0514840596345262
0.00792968737609855,0.0540393986444058
0.00794921862579338,0.0565117413525906
0.0079687498754882,0.058974543189437
0.00798828112518302,0.0613792903808907
0.00800781237487785,0.0637652200886576
0.00802734362457267,0.066176417241221
0.0080468748742675,0.0685450893828413
0.00806640612396232,0.0708638902190393
0.00808593737365714,0.0730223510830507
0.00810546862335197,0.0751987787146497
0.00812499987304679,0.0774137373642892
0.00814453112274162,0.0796407386650848
0.00816406237243644,0.0817082686802932
0.00818359362213126,0.0836663293353168
0.00820312487182609,0.0857016660186191
0.00822265612152091,0.0877415337348737
0.00824218737121574,0.0897292778473476
0.00826171862091056,0.0916138823027171
0.00828124987060538,0.0934450322633057
0.00830078112030021,0.0952267215357273
0.00832031236999503,0.0970077155537208
0.00833984361968986,0.0987511005248666
0.00835937486938468,0.100390230560088
0.00837890611907951,0.101922670979134
0.00839843736877433,0.103504177174164
0.00841796861846915,0.105079819973567
0.00843749986816398,0.106512235572625
0.0084570311178588,0.107887970790623
0.00847656236755362,0.109229391643886
0.00849609361724845,0.110497455131018
0.00851562486694327,0.111799282196573
0.0085351561166381,0.113025827737438
0.00855468736633292,0.114103542435548
0.00857421861602774,0.115243830488614
0.00859374986572257,0.11627989168321
