window_size_px,row_index,col_index,x_mm,y_mm,vx_image_ms,vy_image_ms,u_streamwise_ms,v_normal_ms,speed_ms
16,1,1,0.888803167408494,135.9868846135,-3.00271340340707,-3.00271340340707,3.00271340340707,-3.00271340340707,4.24647801901776
16,2,1,0.888803167408494,134.209278278683,-1.50135670170354,0,1.50135670170354,0,1.50135670170354
16,3,1,0.888803167408494,132.431671943866,0,0,-0,0,0
16,4,1,0.888803167408494,130.654065609049,0,0,-0,0,0
16,5,1,0.888803167408494,128.876459274232,-1.50135670170354,0,1.50135670170354,0,1.50135670170354
16,6,1,0.888803167408494,127.098852939415,0,7.50678350851768,-0,7.50678350851768,7.50678350851768
16,7,1,0.888803167408494,125.321246604598,0,3.00271340340707,-0,3.00271340340707,3.00271340340707
16,8,1,0.888803167408494,123.543640269781,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
16,9,1,0.888803167408494,121.766033934964,1.50135670170354,-4.50407010511061,-1.50135670170354,-4.50407010511061,4.74770675774118
16,10,1,0.888803167408494,119.988427600147,-10.5094969119248,0,10.5094969119248,0,10.5094969119248
16,11,1,0.888803167408494,118.21082126533,-4.50407010511061,6.00542680681415,4.50407010511061,6.00542680681415,7.50678350851769
16,12,1,0.888803167408494,116.433214930513,-10.5094969119248,1.50135670170354,10.5094969119248,1.50135670170354,10.6161950475444
16,13,1,0.888803167408494,114.655608595696,-9.00814021022122,0,9.00814021022122,0,9.00814021022122
16,14,1,0.888803167408494,112.878002260879,-1.50135670170354,-9.00814021022122,1.50135670170354,-9.00814021022122,9.1323962897344
16,15,1,0.888803167408494,111.100395926062,-12.0108536136283,0,12.0108536136283,0,12.0108536136283
16,16,1,0.888803167408494,109.322789591245,1.50135670170354,3.00271340340707,-1.50135670170354,3.00271340340707,3.35713564348398
16,17,1,0.888803167408494,107.545183256428,-12.0108536136283,0,12.0108536136283,0,12.0108536136283
16,18,1,0.888803167408494,105.767576921611,-10.5094969119248,1.50135670170354,10.5094969119248,1.50135670170354,10.6161950475444
16,19,1,0.888803167408494,103.989970586794,-12.0108536136283,0,12.0108536136283,0,12.0108536136283
16,20,1,0.888803167408494,102.212364251977,-12.0108536136283,0,12.0108536136283,0,12.0108536136283
16,21,1,0.888803167408494,100.43475791716,-10.5094969119248,-1.50135670170354,10.5094969119248,-1.50135670170354,10.6161950475444
16,22,1,0.888803167408494,98.6571515823428,10.5094969119248,0,-10.5094969119248,0,10.5094969119248
16,23,1,0.888803167408494,96.8795452475258,13.5122103153318,-12.0108536136283,-13.5122103153318,-12.0108536136283,18.0787287200668
16,24,1,0.888803167408494,95.1019389127089,-12.0108536136283,-4.50407010511061,12.0108536136283,-4.50407010511061,12.8275972824126
16,25,1,0.888803167408494,93.3243325778919,-3.00271340340707,-7.50678350851768,3.00271340340707,-7.50678350851768,8.08505327296942
16,26,1,0.888803167408494,91.5467262430749,-4.50407010511061,-4.50407010511061,4.50407010511061,-4.50407010511061,6.36971702852664
