case_id,aoa_deg,processing,x_mm,y_mm,y_relative_mm,u_rms_ms,v_rms_ms,speed_rms_ms,valid
aoa0,0,Overlap50MP3,-125.6671117544,21.7783275843,-33.2216724157,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,20.0005515814,-34.9994484186,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,18.2227755785,-36.7772244215,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,16.4449995756,-38.5550004244,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,14.6672235727,-40.3327764273,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,12.8894475698,-42.1105524302,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,11.111671567,-43.888328433,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,9.3338955641,-45.6661044359,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,7.5561195612,-47.4438804388,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,5.7783435583,-49.2216564417,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,4.0005675554,-50.9994324446,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,2.2227915525,-52.7772084475,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,0.4450155497,-54.5549844503,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,-1.3327604532,-56.3327604532,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,-3.1105364561,-58.1105364561,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,-4.888312459,-59.888312459,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,-6.6660884619,-61.6660884619,0,0,0,0
aoa0,0,Overlap50MP3,-125.6671117544,-8.4438644648,-63.4438644648,0,0,0,0
aoa0,0,Overlap50MP3,-123.8893357515,126.6671117544,71.6671117544,0,0,0,0
aoa0,0,Overlap50MP3,-123.8893357515,124.8893357515,69.8893357515,0.2528582244,0.2315436559,0.34285528468183,1
aoa0,0,Overlap50MP3,-123.8893357515,123.1115597486,68.1115597486,0.3108088051,0.1837360462,0.361055463884565,1
aoa0,0,Overlap50MP3,-123.8893357515,121.3337837458,66.3337837458,0.2744551987,0.2263082075,0.355726103730552,1
