case_id,aoa_deg,processing,field_type,x_mm,y_mm,y_relative_mm,u_streamwise_ms,v_normal_ms,speed_ms,valid
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,20.0005515814,-34.9994484186,9.9973522036,0.0092388898,9.99735647258367,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,18.2227755785,-36.7772244215,9.899975852,-0.0282350323,9.90001611550366,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,16.4449995756,-38.5550004244,10.0567620451,-0.029771506,10.0568061119987,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,14.6672235727,-40.3327764273,10.1934638197,0.1580477339,10.1946889962237,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,12.8894475698,-42.1105524302,10.1406566627,0.3043148811,10.1452217865171,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,11.111671567,-43.888328433,10.0622549746,0.238971072,10.0650922671933,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,9.3338955641,-45.6661044359,10.0784702857,0.3025994146,10.0830119361952,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,7.5561195612,-47.4438804388,9.9352589028,0.3484501973,9.94136746155503,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,5.7783435583,-49.2216564417,9.8637018974,0.1386878781,9.86467685473296,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,4.0005675554,-50.9994324446,10.0717387264,0.0682363319,10.071969875345,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,2.2227915525,-52.7772084475,10.0213214807,0.130074747,10.0221656172379,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,0.4450155497,-54.5549844503,9.9300924561,0.1117802561,9.93072157561312,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,-1.3327604532,-56.3327604532,10.0709010403,0.1365227818,10.0718263603711,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,-3.1105364561,-58.1105364561,10.112186792,0.1422505498,10.1131872787573,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,-4.888312459,-59.888312459,10.1237568833,0.0645433535,10.1239626271853,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,-6.6660884619,-61.6660884619,10.1847046305,0.1887127718,10.1864528134561,1
aoa0,0,Overlap50MP3,instantaneous,-123.8893357515,-8.4438644648,-63.4438644648,10.2098896263,0.1531204215,10.2110377555226,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,126.6671117544,71.6671117544,-0,-0,0,0
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,124.8893357515,69.8893357515,10.2674093044,0.1867767862,10.2691080134519,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,123.1115597486,68.1115597486,10.2299396781,0.2604072436,10.2332535271088,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,121.3337837458,66.3337837458,10.1823891803,0.3509446402,10.1884351869939,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,119.5560077429,64.5560077429,10.06962518,0.2038025765,10.0716873837445,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,117.77823174,62.77823174,10.000847574,0.1686756074,10.0022699253176,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,116.0004557371,61.0004557371,9.7732303701,-0.0004839964,9.7732303820844,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,114.2226797342,59.2226797342,9.532117113,0.0329847839,9.53217418283554,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,112.4449037313,57.4449037313,9.2989139034,0.1635005691,9.30035118793596,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,110.6671277285,55.6671277285,9.7781906172,0.1018067801,9.77872058946222,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,108.8893517256,53.8893517256,10.3032178778,-0.1736587656,10.3046812665064,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,107.1115757227,52.1115757227,10.1487886613,-0.0849871894,10.149144501587,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,105.3337997198,50.3337997198,9.8177709259,0.0952470538,9.81823293442893,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,103.5560237169,48.5560237169,9.7307518108,0.0327026913,9.73080676354257,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,101.778247714,46.778247714,9.8380300413,0.0306020324,9.83807763630214,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,100.0004717112,45.0004717112,9.7226613385,0.1168006447,9.72336289016125,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,98.2226957083,43.2226957083,9.6244057746,0.0212256762,9.62442918013759,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,96.4449197054,41.4449197054,9.7396971525,-0.009331966,9.73970162315078,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,94.6671437025,39.6671437025,9.7074541145,-0.1258004002,9.70826921370712,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,92.8893676996,37.8893676996,9.7506429171,-0.4339614775,9.76029507037294,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,91.1115916967,36.1115916967,9.5559059653,-0.2823259798,9.5600756679289,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,89.3338156939,34.3338156939,9.7958536217,0.1188798245,9.79657494180727,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,87.556039691,32.556039691,10.1376266735,-0.0161351224,10.1376395138826,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,85.7782636881,30.7782636881,9.9958472326,-0.1221188773,9.99659316555746,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,84.0004876852,29.0004876852,9.8885346355,-0.055645266,9.88869119919878,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,82.2227116823,27.2227116823,9.6234406457,0.1264920282,9.62427192542423,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,80.4449356794,25.4449356794,9.4872887368,0.2067137146,9.48954045964376,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,78.6671596766,23.6671596766,9.8012234042,0.1983912677,9.80323106501818,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,76.8893836737,21.8893836737,10.1715980654,0.3243319982,10.176767583526,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,75.1116076708,20.1116076708,9.8133634085,0.4450260933,9.82344896719093,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,73.3338316679,18.3338316679,8.981917744,0.4311978294,8.9922621140657,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,71.556055665,16.556055665,8.1693636902,0.8777016868,8.21637775140419,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,69.7782796621,14.7782796621,7.9194797883,0.9689536224,7.97853565760374,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,68.0005036592,13.0005036592,7.51659718,0.4371690275,7.52929943122129,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,66.2227276564,11.2227276564,7.9274213386,-0.2328738629,7.93084102196688,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,64.4449516535,9.4449516535,9.8102088402,-0.8349911529,9.84567964712236,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,62.6671756506,7.6671756506,10.9446620228,-0.6265190135,10.9625796629989,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,60.8893996477,5.8893996477,10.9373605505,0.4280604445,10.9457339432209,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,59.1116236448,4.1116236448,10.6616257998,0.9062732254,10.7000745723587,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,57.3338476419,2.3338476419,10.3632205433,0.4773321366,10.3742077286753,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,55.5560716391,0.556071639099997,10.3905205175,0.1482246118,10.3915777031273,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,53.7782956362,-1.2217043638,10.1510411061,0.1715051248,10.1524898200178,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,52.0005196333,-2.9994803667,9.8254518628,0.1424882522,9.82648498753318,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,50.2227436304,-4.7772563696,9.7884547774,0.0102784796,9.78846017391641,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,48.4449676275,-6.5550323725,10.0775337957,0.0104345613,10.0775391978174,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,46.6671916246,-8.3328083754,10.2174159134,0.0966016709,10.2178725687014,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,44.8894156218,-10.1105843782,10.0695979731,0.2067910395,10.0717210978997,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,43.1116396189,-11.8883603811,9.8842158984,0.1593823039,9.8855008292438,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,41.333863616,-13.666136384,9.7981046346,0.2448048037,9.80116237098869,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,39.5560876131,-15.4439123869,9.83653223,0.020711609,9.83655403495432,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,37.7783116102,-17.2216883898,10.086141199,0.0737450128,10.0864107894274,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,36.0005356073,-18.9994643927,10.289736144,0.2254549715,10.2922057819164,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,34.2227596045,-20.7772403955,10.2252744111,0.1529285413,10.2264179418328,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,32.4449836016,-22.5550163984,10.1253305876,0.0884209863,10.1257166550821,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,30.6672075987,-24.3327924013,10.1491337594,-0.0384519384,10.1492066004077,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,28.8894315958,-26.1105684042,10.1274785006,0.0991576874,10.1279639132002,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,27.1116555929,-27.8883444071,10.1481686305,0.3338014307,10.1536569741252,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,25.33387959,-29.66612041,10.1543302769,0.2196713577,10.1567061037406,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,23.5561035872,-31.4438964128,10.0570999834,0.0496411332,10.0572224952126,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,21.7783275843,-33.2216724157,9.9755909811,-0.0839776703,9.97594445009156,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,20.0005515814,-34.9994484186,10.0110286816,0.0146831332,10.0110394494387,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,18.2227755785,-36.7772244215,10.102705904,0.1255469464,10.1034859636893,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,16.4449995756,-38.5550004244,10.0504572045,0.0644015913,10.0506635395106,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,14.6672235727,-40.3327764273,9.9977903778,0.1855066537,9.99951124590583,1
aoa0,0,Overlap50MP3,instantaneous,-122.1115597486,12.8894475698,-42.1105524302,10.0355549841,0.3171164425,10.0405640616948,1
