region,position_mm,aoa_deg,sample_rate_hz,nyquist_hz,frequency_resolution_hz,window_samples
Trailing edge,55,0,51200.0024000048,25600.0012000024,3.12500014648467,16384
Trailing edge,55,5,51200.0024000048,25600.0012000024,3.12500014648467,16384
Shear layer,35,15,51200.0024000048,25600.0012000024,3.12500014648467,16384
